epoch,loss
1,0.8282185658386776
2,0.47001341479165215
3,0.4425720231873648
4,0.428541670356478
5,0.43439918279647827
6,0.4199841302207538
7,0.41729499335799897
8,0.4165292366913387
9,0.4085468485525676
10,0.40272416242531367
11,0.4088334455660411
12,0.3972722937379565
13,0.4053487444775445
14,0.3957880389690399
15,0.3938744502408164
16,0.39604104348591396
17,0.3916119110584259
18,0.38952202005045755
19,0.39261266250695503
20,0.38272219300270083
21,0.38574016886098045
22,0.38269437100206105
23,0.37874437911169867
24,0.38445121135030474
25,0.3848102575114795
26,0.37186041934149605
27,0.37503177046775815
28,0.37826184962477005
29,0.37387570338589804
30,0.3749885650191988
31,0.37649904830115183
32,0.3698902147156852
33,0.36332837224006653
34,0.3706981254475457
35,0.3700647089311055
36,0.36691769889422826
37,0.36768371181828635
38,0.37079944780894686
39,0.36372492577348436
40,0.36118370090212143
41,0.366023109470095
42,0.3648559086663382
43,0.3662105458974838
44,0.36558823483330866
45,0.3552040694441114
46,0.3536989437682288
47,0.3607062316792352
48,0.36479748683316365
49,0.3600182328053883
50,0.3536647766828537
51,0.3540297722816467
52,0.3589075530426843
53,0.3524043307134083
54,0.35493470558098383
55,0.3486488401889801
56,0.3582276506083352
57,0.35245633023125783
58,0.3503410347018923
59,0.3496671330503055
60,0.3462878981232643
61,0.3449467846325466
62,0.35120926541941505
63,0.34838685376303535
64,0.34746500841208866
65,0.34153007234845845
66,0.3425514172443322
67,0.35786445881639206
68,0.35099173562867303
69,0.3413052057368415
70,0.33874103635549546
71,0.33818670638969967
72,0.35230669673000065
73,0.34008893574987137
74,0.33993954965046475
75,0.3408044612407684
76,0.3391207194328308
77,0.34348253956862856
78,0.3404523171697344
79,0.3384201864685331
80,0.33566867181232996
81,0.32950447665793553
82,0.3338083058595657
83,0.34204548358917236
84,0.3398089392270361
85,0.33170686406748634
86,0.3351232414160456
87,0.3422929127727236
88,0.33298486432858876
89,0.33580831910882675
90,0.3327595146213259
91,0.32426500516278406
92,0.32876802746738704
93,0.3336984622478485
94,0.32536157710211616
95,0.32564146518707277
96,0.34226502840008055
97,0.33579179891518185
98,0.3320600035786629
99,0.32628608099051887
100,0.32764421786580766
101,0.3235060983470508
102,0.3278031305755888
103,0.3267848563194275
104,0.33298536343233925
105,0.33160186776093076
106,0.3357239392399788
107,0.32586596518754957
108,0.316460417168481
109,0.3203607927049909
110,0.3254743766784668
111,0.3217003389767238
112,0.3242786818742752
113,0.3180827946854489
114,0.32212655591113226
115,0.33287066679980076
116,0.3241326162644795
117,0.32457681443010056
118,0.32495933651924136
119,0.31924085114683426
120,0.31905668897288186
